ProblemNo,Connection,Cost
71,'58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 26 ; '58113' : 33 -> 34 ; '58114' : 25 -> 27,01:00:57:00
72,'12138' : 11 -> 14 ; '04414' : 10 -> 12 ; '14705' : 1 -> 2 ; '12915' : 19 -> 20 ; '04408' : 1 -> 2 ; '12318' : 9 -> 10 ; '12392' : 5 -> 6 ; '14308' : 5 -> 6 ; '54076' : 39 -> 40,01:11:40:00
73,'51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 6 ; '51028' : 24 -> 25 ; '51027' : 5 -> 8 ; '12115' : 5 -> 7 ; '11305' : 5 -> 6 ; '11101' : 1 -> 2 ; '51028' : 14 -> 15,01:23:43:00
74,'59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 8 ; '59439' : 65 -> 66 ; '59440' : 7 -> 10 ; '12941' : 8 -> 9 ; '12961' : 8 -> 9 ; '12979' : 10 -> 11 ; '19309' : 12 -> 13 ; '12961' : 11 -> 13,01:04:04:00
75,'24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 15 ; '14888' : 28 -> 29 ; '24887' : 14 -> 16,01:02:38:00
76,'13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 51 ; '13413' : 10 -> 11 ; '13414' : 50 -> 53,01:02:45:00
77,'22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '22444' : 15 -> 16 ; '22443' : 8 -> 9 ; '12476' : 10 -> 11 ; '12416' : 3 -> 4 ; '59811' : 57 -> 60,01:04:05:00
78,'13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '12456' : 13 -> 14 ; '13007' : 108 -> 109 ; '14711' : 20 -> 23 ; '12455' : 12 -> 16,01:09:13:00
79,'12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '12763' : 14 -> 15 ; '12738' : 7 -> 8 ; '17025' : 10 -> 11 ; '57626' : 17 -> 18,01:02:22:00
